src	tsvRow	title	disposition	where	note
qa	1	A vertical swipe that starts on the Foray strip seeks instead of scrolling	fixed	L3-styles-sheets (merge 3d734d2, PR #742); e901fcd; sweep (PR #742) re-verified	not assigned to a lane; same defect as persona 8: the strip is pan-y and a vertical flick scrolls
qa	2	The Now Playing scrub bar has no touch-action, so dragging the thumb scrolls the sheet	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	.fp-scrub touch-action: pan-y, 44px min-height
qa	3	The Continue banner's ✓ "Done with this" button has no handler and navigates instead	refuted	audit verifier	refuted by the 2026-09-22 adversarial verifier; kept so it is not re-raised
qa	4	Chapter rows are a ~19px tap target although the CSS comment claims 48px	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	chapter rows are 44px targets
qa	5	Up Next reorder arrows are 28x22px, stacked 2px apart	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	Up Next row wraps; arrows 40x40 with 44px hit areas
qa	6	Per-segment thumbs are 30x30px, though a neighbouring comment sizes the layout around "the 44px-ish thumb target"	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	thumbs keep 30px visual, 44px hit, non-overlapping
qa	7	Inline description timestamps are zero-padding inline buttons that seek playback	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	description timestamps get a padded hit box without reflow
qa	8	"Start over" is a ~16px underlined target sitting 10px above the 12px scrub strip	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	Start over is a 44px target clear of the strip
qa	9	Modal sheets with text inputs are stranded behind the soft keyboard	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	sheet panels ride --kb-inset above the keyboard
qa	10	The mini player's artwork is a 40px dead target where every podcast app opens the player	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	mini-bar artwork opens Now Playing
qa	11	The mini player's "Open player" button is ~35px tall inside a ~56px bar, with dead strips above and below	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	the open-the-player button fills the bar's height
qa	12	Every episode row stacks two unpadded navigation links ~2px apart	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	stretched-link: an episode row's text block opens the episode
qa	13	The mini player applies the home-indicator inset twice, leaving a dead band above the tab bar	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	the docked mini player no longer adds the home-indicator inset twice (needs a notched-device check)
qa	14	A narration beat's play button is a 30px-tall strip	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	narration beat play targets are 44px
qa	15	The Audition button inside a voice row is ~29px, and a miss silently changes the narration voice	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	Audition/Preview gets a 44px hit area; explicit radio selection left as a design call
qa	16	Up Next's remove ✕ is a 32px destructive button crowded against the 22px reorder arrows	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	Up Next remove is 44px hit and 20px from the arrows
qa	17	Row play and star buttons are 40x40, with the row's only other targets 10px away	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	row play and star get 44px hit areas via the shared rule
qa	18	Topbar menu and refresh buttons are 42x42	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	topbar buttons get 44px hit areas
qa	19	The sheet drag-dismiss gesture ignores pointerId, so a second finger restarts it mid-drag	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	sheet drag tracks one pointerId
qa	20	The Now Playing sheet's collapse ✕ is 36x36	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	the grab-zone close gets a 44px hit area
qa	21	Scrubber and ±seek buttons are dead once playback has ended; the thumb silently snaps back	fixed	L2-player (merge b6c75e9, PR #742); 3c7cf42, a8ad521	an ended or idle episode's seek moves restoredPending; foraySeek reloads a finished Foray
qa	22	Dragging the Foray scrubber fully right disarms the out-point and free-plays into the source episode	fixed	L2-player (merge b6c75e9, PR #742); a8ad521	sourceOffsetFor lands 0.25 s inside the item so the out-point stays armed
qa	23	A restored Now Playing ribbon installs no MediaSession handlers — the car/lock-screen play button does nothing	already-fixed	PR #733; re-verified by L2	restoreLastEpisode installs the episode media handlers
qa	24	`ForayPlayer.play()` reports success even when the episode audio 404s, and nothing on screen says it failed	fixed	L2-player (merge b6c75e9, PR #742); 9c2552a	play() returns false on a failed load; the bar says it didn't load and the same press retries
qa	25	The Foray page's main button is painted from the stale belief, not the #689 authority — it says "Resume" while audio plays, and the press pauses	fixed	L2-player (merge b6c75e9, PR #742); 16a334a	the Foray page paints its button from running: transportIsRunning()
