id	title	disposition	where	note
app-1-2	Concurrent event syncs are not single-flighted: the same rows are POSTed twice and a fresh device can mint several anonymous accounts	fixed	L1-app-data (merge 5ed77ea1: 3c78345a)	trySyncEvents is single-flight: one run (syncRun), one shared follow-up (syncFollowUp), one pre-settle waiter (syncSettleWaiter); ensureAnonSession shares one in-flight promise. Tests in data-deletion (3 overlapping syncs POST each row once; 2 callers sign up once) and boot-path (5 pre-settle syncs, 1 POST). 4 mutations checked.
app-1-10	Event sync with more than 500 rows re-sends already-accepted batches when a later batch fails, creating duplicate server rows	fixed	L1-app-data (merge 5ed77ea1: d3f2e2a8)	Rows go out in chunks that carry their ids (including interleaved local-only rows); each chunk is marked synced as soon as its POST succeeds. Test: a 1001-row backlog with chunk 2 refused stores 1001 rows, not 1501. Red on the old loop.
app-1-4	A transient failure of the refresh-token call signs the device up as a new anonymous user, orphaning the listener's identity	fixed	L1-app-data (merge 5ed77ea1: 200d4c88)	sbAuth returns {ok,status,body}; signup after a failed refresh only when the server calls the token dead (400/401 invalid_grant or refresh_token_not_found); network/429/5xx return null. The review round (3245074b) also recognises a spent or expired token as dead. Tests cover 4 transient and 2 dead shapes, mutation-checked both ways.
app-1-1	races-4 fix is incomplete: listener-action writes and first-run detection still run against an unhydrated store and permanently overwrite durable rows	fixed	L1-app-data (merge 5ed77ea1: 826d3b0e, 6ba67b9d)	Option A: editStored/storedValue queue an edit per key, replayed over the settled store, with an optimistic overlay: stars, show stars, queue add/remove/move, history, rememberEpisode, cp_shard_shows; the review round (826d3b0e) added playlists and Foray thumbs. offerHomeOnboarding waits for settle. Hydration and durable-store property 2 untouched. Tests in boot-path.
app-1-8	cp_saved keeps full untrimmed snapshots (publisher description and chapters) and is re-parsed once per rendered row	fixed	L1-app-data (merge 5ed77ea1: 4f93eef4)	Stars store savableEpisode (hook trimmed to 280; description and chapters kept, bounded at 4000 chars / 100 rows, because the episode page reads a star's description after a reload). Old entries trimmed on the next star; a refused lsSet leaves the star off. Parses memoised on the raw stored string. 3 tests, mutation-checked.
app-1-11	Unbounded session caches: showEpisodesCache and state.itemIndex hold full episode descriptions for every show visited	fixed	L2-app-surface (merge 8fc8afca: 8d0b15d0)	showEpisodesCache is an LRU of 10 shows (read moves to the end; expired pages swept on insert). An evicted show's non-pool itemIndex rows are trimmed to storableEpisode shape but keep their ids. The review round (20c4f498) stops an expired page stripping notes before a refetch answers. 4 mutations red.
app-2-14	playerBridge leaks a 'forayplayer:ready' listener on every timed-out wait	fixed	L2-app-surface (merge 8fc8afca: 77cdbbd8)	playerBridge's finish() removes the forayplayer:ready listener and clears its timer. Tested with a controlled timer queue; both mutations red.
app-2-15	Dead code in the search section: episodeDedupKey and showIndexFetchCount	fixed	L2-app-surface (merge 8fc8afca: bfc3909b)	episodeDedupKey and showIndexFetchCount deleted; a source test (comments stripped) pins their absence.
app-1-16	showNameLink builds `#/show/<id>` without encodeURIComponent, while the router decodes the segment and the prefetch handler decodes the whole tail	fixed	L2-app-surface (merge 8fc8afca: 0fe62cb8, c89e4ca8)	showNameLink and its copies (forayCreditHtml, citesHtml, the credit upgrade) go through showRoutePath/showRouteHash (encoded id); bindShowPrefetch uses parseShowRoute(href)?.id. Templates use esc(showRoutePath(id)) to keep app-security's safeUrl census green. Tests incl. a source guard; mutations red.
app-3-2	On the Vercel origin the service worker intercepts /api/* and keys its cache without the query string, so a slow or failing API call returns another query's results; those responses also survive Delete my data	fixed	L4-web-platform (merge 4c70ad9d: 78667b70)	The fetch listener no longer answers scope-relative api/ requests; activate removes api/ entries from the retained generation caches. Tests: a timed-out second query is not answered with the first query's body; the old search body is gone after activate. The 'manifest paths plus an allowlist only' tightening was not added (data/show-index.tsv depends on current behaviour).
app-3-4	The service worker's activate deletes every CacheStorage bucket it does not own, including the app's own 'foray-shows-index-v1' shard cache, on every deploy	fixed	L4-web-platform (merge 4c70ad9d: 7ec38b5a)	activate deletes only foray-gen-* caches outside the kept pair plus a named legacy list (foray-v1..v5). Test: foray-shows-index-v1 and someone-else survive; foray-v4 and an aged-out generation are deleted.
app-3-7	The service worker strips the Range header when it refetches same-origin media, so the interlude jingle always gets a 200 full body (Safari expects 206)	fixed	L4-web-platform (merge 4c70ad9d: e123c7b7)	Requests with a Range header or an audio/video destination are left to the browser. One iOS Safari check that the jingle still plays is owed (PR #835 body).
player-rest-2	idb-tier (and event-log) cache an IDBDatabase handle forever and never reopen after the connection is closed	fixed	L3-player-and-native-tts (merge d66e909d: 3c89ab60)	idb-tier exports a shared idbConnection (forgets the handle on close and versionchange, never caches a failed open) and withStore retries once after InvalidStateError; event-log.js imports both. Tests in idb-tier and event-log.
player-rest-4	listProgress over DurableStore is O(n²): key(i) and length rebuild the owned-key array on every call	fixed	L3-player-and-native-tts (merge d66e909d: a021a353)	DurableStore.keys(prefix) is a one-snapshot read; listProgress uses it when available. Test: at most one owned-key rebuild. Capping cp_pos rows by recency is left as the follow-up the brief allows.
search-api-css-4	TtlCache never evicts, and the show-scoped path has no rate limit: unbounded memory growth and outbound feed-fetch amplification	fixed	L4-web-platform (merge 4c70ad9d: 0fd1f58e)	TtlCache takes maxEntries (default 500), sweeps expired entries on set and evicts the oldest; new KeyedBuckets (keys capped); each show gets 6 feed fetches per minute per instance, then a degraded answer. api/_test/bounded-caches.test.mjs, mutation-checked. Limits are per warm instance.
ci-release-11	The CI `api` job installs with `npm install`, but Vercel installs with `npm ci`, so CI can pass on a lockfile/manifest mismatch that breaks the production deploy	fixed	L7-ci-release-security (PR #821, not in #835: 8ba89bf4)	In PR #821. The api job runs npm ci and npm ci --omit=dev --prefix ../backend with a cache keyed on both lockfiles, matching vercel.json; pinned in ci-workflow.test.mjs.
ci-release-12	The iOS build paths (including the TestFlight release action) still use `npm install` under a stale 'no committed lockfile' comment, while Android uses `npm ci`	fixed	L7-ci-release-security (PR #821, not in #835: 8ba89bf4)	In PR #821. ios-build.yml and the ios-archive composite run npm ci --no-audit --no-fund; ios-workflow.test.mjs checks neither runs npm install.
backend-rest-4	Catalog and pipeline tables have no RLS, so on Supabase the public anon key can insert or modify catalogue episodes	fixed	L6-backend-rest (merge b86a68b7: 8eb0182c)	New backend/migrations/supabase/0003_rls_least_privilege.sql: RLS with select-only for anon/authenticated on the catalogue tables, deny-all plus revoked writes on the pipeline tables. NOT applied to production: founder Q3, HUMAN-ACTIONS #116. Pinned by test/supabase-rls-verbs.test.js.
backend-rest-1	parseFeed throws on an out-of-range numeric entity, so a show's episode page returns HTTP 500 in production	fixed	L6-backend-rest (merge b86a68b7: 42f94050)	decodeEntities decodes only code points 1..0x10FFFF that are not surrogates (else U+FFFD) and never throws; parseFeed isolates each parseItem ('item #N skipped'). Tests in html, parser and parserItemIsolation; api parser tests 40/40.
ci-release-4	The build number is not monotonic: the run_number wrap (99 -> 1) on the same UTC day makes both stores reject every later release that day, and then the retry budget stops the trigger	fixed	L7-ci-release-security (PR #821, not in #835: 8ba89bf4)	In PR #821. tools/release/build-number.mjs (11 tests): run-of-day = max(today's release.yml runs up to this one, 1 + the highest earlier BUILD_NUMBER that day); fails loudly past 99. A dry run on 2026-09-24's live data gives 30, matching run #30.
security-1	Hourly pr-hygiene sweep arms and merges fork PRs from outside contributors, and app.js, sw.js, player/ and mobile/ are all on the auto-merge allowlist	fixed	L7-ci-release-security (PR #821, not in #835: e5682736, 6c98cbb8)	In PR #821 (not in #835). automergeDecision takes author and crossRepo and refuses FOREIGN_AUTHOR for any fork PR and any author not on AUTOMERGE_AUTHORS (github-actions[bot], app/github-actions, wjduvall-cmd, sffan15-sys); arm, disarm and the founder queue share one decide(). Test: a clean fork PR touching only data/ is not armed. The founder should confirm sffan15-sys.
arch-drift-13	The live episodes endpoint's DB branch has drifted from its no-DB branch: no pagination, different response shape, and connect() can 500	fixed	L4-web-platform (merge 4c70ad9d: 26dc0633)	Both episode-list branches build the same keys (LIST_RESPONSE_KEYS; stale:false on the live branch) and paginate with the same cursor; opening the DB session is inside the try with a fallback to the live branch; the session is always closed. api/_test/episodes-shape.test.mjs (one shape, 150 rows as 100+50, unreachable-DB fallback).
