id	title	disposition	where	note
player-1	Incomplete fix of persona 47/57/73 (and qa 39/40): at the natural end of an ordinary episode nothing repaints, so continuous playback never starts and the bar keeps saying Pause	fixed	L1-player-transport (merge 561c8ca0, PR #749)	onStateSettled on PlayerQueueManager wired to render(); the natural end repaints and fires onEpisodeEnded, also with the screen off (render keeps the ended signal and the OS view while hidden). Test: player/transport-reconcile.test.js 'ROUND 2 player-1' (x2); queue-manager 'onStateSettled fires after EVERY handled event'.
native-1	Continuous playback on Android tears the foreground service down at every episode boundary and cannot bring it back with the screen off	refuted-now	audit verifier (uncertain); re-verified by the round-2 sweep, pinned in 95d40970	Verifier: uncertain (latent: nothing repainted at a natural end). Re-verified in the sweep: player-1 made the path reachable, and p-car-6 closes it: a finished ordinary episode reports PAUSED, so the shell's loaded flag never drops between episodes and continuous playback's next play finds the service up; a finished Foray (which chains nothing) still releases it. Pinned: tools/mobile/foray-media-session.test.mjs 'A FINISHED ORDINARY EPISODE KEEPS THE SHELL'S SERVICE…'. Screen-off chaining on Android 12+ is still worth a device check.
p-impatient-4	Between the tap and the first audio, an ordinary episode shows nothing at all — the bar keeps '▶', the row keeps '▶', progress reads 0:00 and the full runtime, and there is no 'Loading…'	fixed	L1-player-transport (merge 561c8ca0, PR #749); round-2 sweep 95d40970	'Loading…' on the bar and sheet during loadingItem, data-loading on the three ▶ controls, aria-busy on the bar, the bar paints the requested start. Sweep: the data-loading mark had no CSS rule ("so styles.css can spin them"); styles.css now breathes the marked control and Reduce Motion stills it. Test: transport-reconcile 'ROUND 2 p-impatient-4'; ui-tokens 'a control marked loading has a look'.
player-3	A scrub made while paused is thrown away by Stop or by playing something else (and switching episodes never flushes the outgoing one)	fixed	L1-player-transport (merge 561c8ca0, PR #749)	ForayPlayer.play() and stopAndClose() flush both position stores (the pagehide rule), so a paused scrub survives playing something else and Stop. Test: transport-reconcile 'ROUND 2 player-3' (x2).
player-6	Dragging the Now Playing scrubber gives no live time readout — the clocks keep ticking the audio's position, not the thumb's	fixed	L1-player-transport (merge 561c8ca0, PR #749)	paintScrubPreview() paints the clocks and aria-valuetext from the thumb on input; paintPage skips the slider while scrubbing. Test: transport-reconcile 'ROUND 2 player-6'.
copy-5	The mini bar's second line words a Foray two ways: "Now: <show> · clip 12 of 32" live, "Foray · clip 3 of 32" after a restart	fixed	L1-player-transport (merge 561c8ca0, PR #749)	One builder foraySecondLine(): '<show> · clip N of M', no 'Now:', used live, restored and on repaint. Test: transport-reconcile 'ROUND 2 copy-5'.
nav-5	The drawer is not modal: a drag on its scrim or on the (short) panel scrolls the page behind it, and there is no Escape, no focus move and no inert	fixed	L2-sheets-drawer-gestures (merge cc09460c, PR #749)	The drawer is modal: scroll lock, overscroll containment, inert outside, focus in, Escape and Tab cycle, aria-expanded/controls, focus back to the menu button. Covers merged touch-7 and a11y-4. Test: drawer-ownership 'ROUND 2 nav-5' (x3).
visual-8	Text fields on three radii and two heights (capsule / 16px / 12px)	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	One input[type="text"] rule (48px, --radius-lg, --fs-lg); each field keeps only its surface. Test: ui-tokens 'one text field…'.
visual-9	Tags restate the section they sit in (JUMP BACK IN under "Jump back in", FORAY under "Forays") and vanish where they would help	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	A tag names what its section does not (Home rail and #/forays rows drop the redundant tag; a draft keeps 'foray · draft'). Test: card-anatomy 'a tag says what its section does not…'.
visual-10	Every episode list is numbered like a queue, including Saved, History, search results and a show's episodes	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	Only ordered lists (playlist, subject, generated, Up Next) number their rows (orderedRowCtx). Test: card-anatomy 'only a list whose order is the point is numbered…'.
