id	area	category	verdict	severity	file:line	title	lane
app-1-2	app-1	race-condition	confirmed	medium	app.js:560	Concurrent event syncs are not single-flighted: the same rows are POSTed twice and a fresh device can mint several anonymous accounts	L1-app-data
app-1-10	app-1	correctness	confirmed	low	app.js:595	Event sync with more than 500 rows re-sends already-accepted batches when a later batch fails, creating duplicate server rows	L1-app-data
app-1-4	app-1	error-handling	confirmed	medium	app.js:479	A transient failure of the refresh-token call signs the device up as a new anonymous user, orphaning the listener's identity	L1-app-data
app-1-1	app-1	correctness/data-loss	confirmed	medium	app.js:1485	races-4 fix is incomplete: listener-action writes and first-run detection still run against an unhydrated store and permanently overwrite durable rows	L1-app-data
app-1-8	app-1	performance	confirmed	medium	app.js:1481	cp_saved keeps full untrimmed snapshots (publisher description and chapters) and is re-parsed once per rendered row	L1-app-data
app-1-11	app-1	resource-leak	confirmed	low	app.js:3908	Unbounded session caches: showEpisodesCache and state.itemIndex hold full episode descriptions for every show visited	L2-app-surface
app-2-14	app-2	resource-leak	confirmed	low	app.js:10968	playerBridge leaks a 'forayplayer:ready' listener on every timed-out wait	L2-app-surface
app-2-15	app-2	dead-code	confirmed	low	app.js:8459	Dead code in the search section: episodeDedupKey and showIndexFetchCount	L2-app-surface
app-1-16	app-1	correctness	confirmed	low	app.js:3073	showNameLink builds `#/show/<id>` without encodeURIComponent, while the router decodes the segment and the prefetch handler decodes the whole tail	L2-app-surface
app-3-2	app-3	correctness	confirmed	medium	sw.js:781	On the Vercel origin the service worker intercepts /api/* and keys its cache without the query string, so a slow or failing API call returns another query's results; those responses also survive Delete my data	L4-web-platform
app-3-4	app-3	resource-handling	confirmed	low	sw.js:345	The service worker's activate deletes every CacheStorage bucket it does not own, including the app's own 'foray-shows-index-v1' shard cache, on every deploy	L4-web-platform
app-3-7	app-3	correctness	confirmed	low	sw.js:465	The service worker strips the Range header when it refetches same-origin media, so the interlude jingle always gets a 200 full body (Safari expects 206)	L4-web-platform
player-rest-2	player-rest	error-handling	confirmed	medium	player/idb-tier.js:68	idb-tier (and event-log) cache an IDBDatabase handle forever and never reopen after the connection is closed	L3-player-and-native-tts
player-rest-4	player-rest	performance	confirmed	low	player/foray-progress.js:190	listProgress over DurableStore is O(n²): key(i) and length rebuild the owned-key array on every call	L3-player-and-native-tts
search-api-css-4	search-api-css	resource-leak	confirmed	medium	api/episodes/searchCache.ts:43	TtlCache never evicts, and the show-scoped path has no rate limit: unbounded memory growth and outbound feed-fetch amplification	L4-web-platform
ci-release-11	ci-release	ci-tooling	confirmed	low	.github/workflows/ci.yml:80	The CI `api` job installs with `npm install`, but Vercel installs with `npm ci`, so CI can pass on a lockfile/manifest mismatch that breaks the production deploy	L7-ci-release-security
ci-release-12	ci-release	ci-tooling	confirmed	low	.github/actions/ios-archive/action.yml:67	The iOS build paths (including the TestFlight release action) still use `npm install` under a stale 'no committed lockfile' comment, while Android uses `npm ci`	L7-ci-release-security
