id	lens	verdict	severity	file:line	title	lane
player-1	player	confirmed	high	player/client.js:2821	Incomplete fix of persona 47/57/73 (and qa 39/40): at the natural end of an ordinary episode nothing repaints, so continuous playback never starts and the bar keeps saying Pause	L1-player-transport
native-1	native	uncertain	medium	mobile/plugins/foray-audio/web/foray-audio-shell.js:660	Continuous playback on Android tears the foreground service down at every episode boundary and cannot bring it back with the screen off	
p-impatient-4	p-impatient	confirmed	medium	player/client.js:1456	Between the tap and the first audio, an ordinary episode shows nothing at all — the bar keeps '▶', the row keeps '▶', progress reads 0:00 and the full runtime, and there is no 'Loading…'	L1-player-transport
player-3	player	confirmed	medium	player/queue-state.js:578	A scrub made while paused is thrown away by Stop or by playing something else (and switching episodes never flushes the outgoing one)	L1-player-transport
player-6	player	confirmed	medium	player/client.js:2615	Dragging the Now Playing scrubber gives no live time readout — the clocks keep ticking the audio's position, not the thumb's	L1-player-transport
copy-5	copy	confirmed	low	player/client.js:1180	The mini bar's second line words a Foray two ways: "Now: <show> · clip 12 of 32" live, "Foray · clip 3 of 32" after a restart	L1-player-transport
nav-5	nav	confirmed	medium	styles.css:11055	The drawer is not modal: a drag on its scrim or on the (short) panel scrolls the page behind it, and there is no Escape, no focus move and no inert	L2-sheets-drawer-gestures
visual-8	visual	confirmed	low	styles.css:857	Text fields on three radii and two heights (capsule / 16px / 12px)	L7-styles-touch-visual
visual-9	visual	confirmed	low	app.js:7752	Tags restate the section they sit in (JUMP BACK IN under "Jump back in", FORAY under "Forays") and vanish where they would help	L7-styles-touch-visual
visual-10	visual	confirmed	low	styles.css:1295	Every episode list is numbered like a queue, including Saved, History, search results and a show's episodes	L7-styles-touch-visual
races-3	races	confirmed	medium	app.js:4442	A playlist build that finishes after the listener left the page navigates them to the playlist from wherever they are — and on the Playlists page throws on a null note	L4-search-create-playlists
search-6	search	confirmed	medium	app.js:3130	A browse pill, a return via ‹, or a reload never loads the on-device show index — those searches run over the curated 220 only	L4-search-create-playlists
p-impatient-2	p-impatient	confirmed	medium	app.js:4550	Tap ▶ on row A, then quickly ▶ on row B: A is recorded as played — it enters History, counts toward a playlist's 'N played', and the playlist's next-up marker skips it	L1-player-transport
states-1	states	deliberate	medium	app.js:3510	136 of 220 curated shows silently end at 100 episodes with a blank subtitle and no way to reach the rest	
states-11	states	confirmed	low	app.js:7701	An estimated Foray runtime is labelled 'about' on the Foray page but 'N min left' and a plain clock everywhere else (Jump back in, Now Playing sheet, lock screen)	L8-foray-surfaces
copy-2	copy	confirmed	low	app.js:952	One listener reads four duration dialects on one row: "3h 5m" beside "185 min left"	L6-navigation-firstrun-copy
p-foray-8	p-foray	confirmed	medium	app.js:10917	Nothing before the Foray page tells you how long a Foray is, and the page shows the runtime in two formats	L8-foray-surfaces
honesty-2	honesty	confirmed	medium	player/client.js:3645	A finished Foray leaves no trace anywhere — no 'Played', no bar, dropped from Jump back in and Library — while a finished episode says 'Played' on every row and stays in Jump back in for 30 days	L8-foray-surfaces
honesty-3	honesty	confirmed	medium	app.js:1259	Library → History is in first-play order, not last-played: replaying an old episode does not move it, so the 'most recent' list can lead with something played weeks ago	L3-queue-and-native-surfaces
p-car-3	p-car	confirmed	medium	player/client.js:460	After a phone call or Siri in the car, 4a stays silent: the page's own reconcile pauses the element mid-interruption, which cancels the OS resume, and interruptionEnded is discarded	L1-player-transport
p-impatient-3	p-impatient	confirmed	medium	mobile/plugins/foray-audio/ios/Sources/ForayAudioPlugin/ForayAudioPlugin.swift:1007	With anything in Up Next, the iOS lock screen may swap the founder's 30↻ for ⏭ — the 2026-09-23 steering-wheel 'next' fix enables nextTrackCommand at the same moment the 2026-09-23 15/30 fix relies on the skip commands being what the lock screen shows	L3-queue-and-native-surfaces
native-5	native	deliberate	low	mobile/plugins/foray-audio/web/foray-media-session.js:1127	iOS lock-screen timeline alternates between the source episode's clock (during tape) and the Foray clock (during narration/pause), and is draggable only in one of them	
perf-2	perf	confirmed	medium	app.js:5538	The Search tab eagerly loads 167 six-hundred-pixel artworks into 44 px rows, with no lazy loading and no size variant	L5-boot-states-storage
p-car-5	p-car	confirmed	medium	app.js:2131	Steering-wheel ◀◀ on an ordinary episode never restarts it — it jumps to the previous list row, or is greyed out — unlike the Foray's own previous and every podcast app	L3-queue-and-native-surfaces
p-car-6	p-car	confirmed	medium	player/media-session.js:469	At the end of the last episode with nothing queued, the lock screen and car go completely blank and every wheel button is dead — Apple keeps the finished episode paused and playable	L1-player-transport
p-first-11	p-first	confirmed	low	app.js:4684	The now-permanent Foray explanation promises "a narrator between them" directly above the only Foray a newcomer can play, which has no narration; the returning-user popup adds a stretch Foray that cannot exist	L8-foray-surfaces
touch-1	touch	confirmed	high	app.js:10572	Hold-and-drag scrub on the Foray strip never commits on a touchscreen: the seek is delegated to a `click` that no mobile browser fires after a moved touch	L2-sheets-drawer-gestures
touch-2	touch	confirmed	medium	player/client.js:2583	Pull-down-to-dismiss the Now Playing sheet only works from the 48px grab strip: the 'anywhere in the body at scrollTop 0' path cannot work on a phone because `pointermove.preventDefault()` does not stop a touch scroll	L2-sheets-drawer-gestures
touch-3	touch	confirmed	low	styles.css:1248	Long-press on any stretched-link card or episode row opens WKWebView's link preview of `capacitor://localhost/#/…` — the new stretched-link pattern made this the whole card face	L7-styles-touch-visual
touch-4	touch	confirmed	low	styles.css:2925	Every sheet in the app paints a drag handle, but only the Now Playing sheet answers a drag — eight false affordances	L2-sheets-drawer-gestures
touch-5	touch	confirmed	medium	styles.css:354	Incomplete fix of theme F (tap-target rule): Follow, every sheet's Cancel/primary button, 'Show all', the interest reset and the shell-notice ✕ are 26-41px and outside the rule	L7-styles-touch-visual
touch-6	touch	confirmed	low	styles.css:1263	Incomplete fix of qa 12: the show link inside the stretched episode row is a ~13px-tall target with no hit area, so a thumb aimed at the show name opens the episode (or vice versa)	L7-styles-touch-visual
